 ID,PARAM,Date,Value,SYM
08FA002,1,10/1/1927,572,
08FA002,1,10/2/1927,422,
08FA002,1,10/3/1927,340,
08FA002,1,10/4/1927,275,
08FA002,1,10/5/1927,225,
08FA002,1,10/6/1927,195,
08FA002,1,10/7/1927,178,
08FA002,1,10/8/1927,267,
08FA002,1,10/9/1927,555,
08FA002,1,10/10/1927,555,
08FA002,1,10/11/1927,479,
08FA002,1,10/12/1927,620,
08FA002,1,10/13/1927,844,
08FA002,1,10/14/1927,702,
08FA002,1,10/15/1927,637,
08FA002,1,10/16/1927,844,
08FA002,1,10/17/1927,719,
08FA002,1,10/18/1927,736,
08FA002,1,10/19/1927,685,
08FA002,1,10/20/1927,770,
08FA002,1,10/21/1927,1440,
08FA002,1,10/22/1927,1500,
08FA002,1,10/23/1927,1360,
08FA002,1,10/24/1927,1070,
08FA002,1,10/25/1927,957,
08FA002,1,10/26/1927,586,
08FA002,1,10/27/1927,422,
08FA002,1,10/28/1927,374,
08FA002,1,10/29/1927,408,
08FA002,1,10/30/1927,362,
08FA002,1,10/31/1927,306,
08FA002,1,11/1/1927,259,
08FA002,1,11/2/1927,234,
08FA002,1,11/3/1927,242,
08FA002,1,11/4/1927,234,
08FA002,1,11/5/1927,217,
08FA002,1,11/6/1927,190,
08FA002,1,11/7/1927,172,
08FA002,1,11/8/1927,160,
08FA002,1,11/9/1927,144,
08FA002,1,11/10/1927,130,
08FA002,1,11/11/1927,118,
08FA002,1,11/12/1927,111,
08FA002,1,11/13/1927,105,
08FA002,1,11/14/1927,102,
08FA002,1,11/15/1927,99.4,
08FA002,1,11/16/1927,96.6,
08FA002,1,11/17/1927,122,
08FA002,1,11/18/1927,138,
08FA002,1,11/19/1927,135,
08FA002,1,11/20/1927,140,
08FA002,1,11/21/1927,130,
08FA002,1,11/22/1927,126,
08FA002,1,11/23/1927,115,
08FA002,1,11/24/1927,118,
08FA002,1,11/25/1927,115,
08FA002,1,11/26/1927,118,
08FA002,1,11/27/1927,122,
08FA002,1,11/28/1927,115,
08FA002,1,11/29/1927,115,
08FA002,1,11/30/1927,111,
08FA002,1,12/1/1927,126,
08FA002,1,12/2/1927,275,
08FA002,1,12/3/1927,385,
08FA002,1,12/4/1927,385,
08FA002,1,12/5/1927,385,
08FA002,1,12/6/1927,328,
08FA002,1,12/7/1927,422,
08FA002,1,12/8/1927,225,
08FA002,1,12/9/1927,202,
08FA002,1,12/10/1927,178,
08FA002,1,12/11/1927,154,
08FA002,1,12/12/1927,140,
08FA002,1,12/13/1927,126,
08FA002,1,12/14/1927,118,
08FA002,1,12/15/1927,111,
08FA002,1,12/16/1927,108,
08FA002,1,12/17/1927,108,
08FA002,1,12/18/1927,102,
08FA002,1,12/19/1927,108,
08FA002,1,12/20/1927,105,
08FA002,1,12/21/1927,102,
08FA002,1,12/22/1927,96.6,
08FA002,1,12/23/1927,96.6,
08FA002,1,12/24/1927,93.4,
08FA002,1,12/25/1927,90.6,
08FA002,1,12/26/1927,87.8,
08FA002,1,12/27/1927,87.8,
08FA002,1,12/28/1927,84.7,
08FA002,1,12/29/1927,81.8,
08FA002,1,12/30/1927,79,
08FA002,1,12/31/1927,75.9,
08FA002,1,1/1/1928,75.9,
08FA002,1,1/2/1928,73.1,
08FA002,1,1/3/1928,75.9,
08FA002,1,1/4/1928,90.6,
08FA002,1,1/5/1928,172,
08FA002,1,1/6/1928,275,
08FA002,1,1/7/1928,286,
08FA002,1,1/8/1928,464,
08FA002,1,1/9/1928,1340,
08FA002,1,1/10/1928,1520,
08FA002,1,1/11/1928,1250,
08FA002,1,1/12/1928,1140,
08FA002,1,1/13/1928,900,
08FA002,1,1/14/1928,668,
08FA002,1,1/15/1928,464,
08FA002,1,1/16/1928,362,
08FA002,1,1/17/1928,275,
08FA002,1,1/18/1928,234,
08FA002,1,1/19/1928,202,
08FA002,1,1/20/1928,178,
08FA002,1,1/21/1928,149,
08FA002,1,1/22/1928,135,
08FA002,1,1/23/1928,126,
08FA002,1,1/24/1928,118,
08FA002,1,1/25/1928,111,
08FA002,1,1/26/1928,105,
08FA002,1,1/27/1928,105,
08FA002,1,1/28/1928,111,
08FA002,1,1/29/1928,118,
08FA002,1,1/30/1928,122,
08FA002,1,1/31/1928,118,
08FA002,1,2/1/1928,115,
08FA002,1,2/2/1928,111,
08FA002,1,2/3/1928,108,
08FA002,1,2/4/1928,108,
08FA002,1,2/5/1928,108,
08FA002,1,2/6/1928,111,
08FA002,1,2/7/1928,111,
08FA002,1,2/8/1928,115,
08FA002,1,2/9/1928,115,
08FA002,1,2/10/1928,126,
08FA002,1,2/11/1928,111,
08FA002,1,2/12/1928,111,
08FA002,1,2/13/1928,111,
08FA002,1,2/14/1928,140,
08FA002,1,2/15/1928,130,
08FA002,1,2/16/1928,122,
08FA002,1,2/17/1928,115,
08FA002,1,2/18/1928,111,
08FA002,1,2/19/1928,108,
08FA002,1,2/20/1928,102,
08FA002,1,2/21/1928,99.4,
08FA002,1,2/22/1928,93.4,
08FA002,1,2/23/1928,90.6,
08FA002,1,2/24/1928,87.8,
08FA002,1,2/25/1928,86.4,
08FA002,1,2/26/1928,81.8,
08FA002,1,2/27/1928,81.8,
08FA002,1,2/28/1928,79,
08FA002,1,2/29/1928,79,
08FA002,1,3/1/1928,75.9,
08FA002,1,3/2/1928,75.9,
08FA002,1,3/3/1928,75.9,
08FA002,1,3/4/1928,73.1,
08FA002,1,3/5/1928,73.1,
08FA002,1,3/6/1928,73.1,
08FA002,1,3/7/1928,75.9,
08FA002,1,3/8/1928,75.9,
08FA002,1,3/9/1928,79,
08FA002,1,3/10/1928,84.7,
08FA002,1,3/11/1928,96.6,
08FA002,1,3/12/1928,99.4,
08FA002,1,3/13/1928,96.6,
08FA002,1,3/14/1928,93.4,
08FA002,1,3/15/1928,93.4,
08FA002,1,3/16/1928,90.6,
08FA002,1,3/17/1928,96.6,
08FA002,1,3/18/1928,118,
08FA002,1,3/19/1928,172,
08FA002,1,3/20/1928,242,
08FA002,1,3/21/1928,328,
08FA002,1,3/22/1928,340,
08FA002,1,3/23/1928,328,
08FA002,1,3/24/1928,286,
08FA002,1,3/25/1928,259,
08FA002,1,3/26/1928,217,
08FA002,1,3/27/1928,183,
08FA002,1,3/28/1928,172,
08FA002,1,3/29/1928,154,
08FA002,1,3/30/1928,144,
08FA002,1,3/31/1928,140,
08FA002,1,4/1/1928,130,
08FA002,1,4/2/1928,122,
08FA002,1,4/3/1928,118,
08FA002,1,4/4/1928,108,
08FA002,1,4/5/1928,108,
08FA002,1,4/6/1928,102,
08FA002,1,4/7/1928,99.4,
08FA002,1,4/8/1928,96.6,
08FA002,1,4/9/1928,96.6,
08FA002,1,4/10/1928,93.4,
08FA002,1,4/11/1928,90.6,
08FA002,1,4/12/1928,90.6,
08FA002,1,4/13/1928,90.6,
08FA002,1,4/14/1928,90.6,
08FA002,1,4/15/1928,90.6,
08FA002,1,4/16/1928,93.4,
08FA002,1,4/17/1928,93.4,
08FA002,1,4/18/1928,96.6,
08FA002,1,4/19/1928,96.6,
08FA002,1,4/20/1928,96.6,
08FA002,1,4/21/1928,99.4,
08FA002,1,4/22/1928,102,
08FA002,1,4/23/1928,105,
08FA002,1,4/24/1928,126,
08FA002,1,4/25/1928,154,
08FA002,1,4/26/1928,160,
08FA002,1,4/27/1928,183,
08FA002,1,4/28/1928,190,
08FA002,1,4/29/1928,178,
08FA002,1,4/30/1928,172,
08FA002,1,5/1/1928,160,
08FA002,1,5/2/1928,154,
08FA002,1,5/3/1928,149,
08FA002,1,5/4/1928,144,
08FA002,1,5/5/1928,172,
08FA002,1,5/6/1928,190,
08FA002,1,5/7/1928,190,
08FA002,1,5/8/1928,183,
08FA002,1,5/9/1928,190,
08FA002,1,5/10/1928,183,
08FA002,1,5/11/1928,172,
08FA002,1,5/12/1928,162,
08FA002,1,5/13/1928,202,
08FA002,1,5/14/1928,225,
08FA002,1,5/15/1928,286,
08FA002,1,5/16/1928,340,
08FA002,1,5/17/1928,351,
08FA002,1,5/18/1928,340,
08FA002,1,5/19/1928,385,
08FA002,1,5/20/1928,507,
08FA002,1,5/21/1928,685,
08FA002,1,5/22/1928,900,
08FA002,1,5/23/1928,957,
08FA002,1,5/24/1928,900,
08FA002,1,5/25/1928,883,
08FA002,1,5/26/1928,883,
08FA002,1,5/27/1928,867,
08FA002,1,5/28/1928,867,
08FA002,1,5/29/1928,736,
08FA002,1,5/30/1928,620,
08FA002,1,5/31/1928,521,
08FA002,1,6/1/1928,436,
08FA002,1,6/2/1928,396,
08FA002,1,6/3/1928,385,
08FA002,1,6/4/1928,408,
08FA002,1,6/5/1928,436,
08FA002,1,6/6/1928,396,
08FA002,1,6/7/1928,362,
08FA002,1,6/8/1928,328,
08FA002,1,6/9/1928,328,
08FA002,1,6/10/1928,396,
08FA002,1,6/11/1928,507,
08FA002,1,6/12/1928,586,
08FA002,1,6/13/1928,654,
08FA002,1,6/14/1928,654,
08FA002,1,6/15/1928,603,
08FA002,1,6/16/1928,555,
08FA002,1,6/17/1928,479,
08FA002,1,6/18/1928,493,
